[ 2024-11-21 20:32:29,989 ] 18 root - INFO - Initiate the data ingestion
[ 2024-11-21 20:32:35,087 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-11-21 20:32:35,087 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-11-21 20:32:35,087 ] 75 root - INFO - Exporting train and test file path.
[ 2024-11-21 20:32:35,135 ] 84 root - INFO - Exported train and test file path.
[ 2024-11-21 20:32:35,136 ] 20 root - INFO - Data Initiation Completed
[ 2024-11-21 20:32:35,142 ] 25 root - INFO - Initiate the data Validation
[ 2024-11-21 20:32:35,199 ] 32 root - INFO - Required number of columns:2
[ 2024-11-21 20:32:35,199 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-21 20:32:35,210 ] 32 root - INFO - Required number of columns:2
[ 2024-11-21 20:32:35,210 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-21 20:32:35,353 ] 27 root - INFO - data Validation Completed
[ 2024-11-21 20:32:35,354 ] 31 root - INFO - data Transformation started
[ 2024-11-21 20:32:35,354 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-11-21 20:32:35,354 ] 65 root - INFO - Starting data transformation
[ 2024-11-21 20:32:35,373 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-11-21 20:32:35,373 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-11-21 20:32:35,395 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-11-21 20:32:35,399 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-11-21 20:32:35,399 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-11-21 20:32:35,403 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-11-21 20:32:35,405 ] 35 root - INFO - data Transformation completed
[ 2024-11-21 20:32:35,405 ] 38 root - INFO - Model Training stared
[ 2024-11-21 20:32:35,425 ] 13 root - INFO - Error occured in python script name [D:\MLOps\Network_Security_project\networksecurity\components\model_trainer.py] line number [114] error message [ModelTrainer.train_model() missing 2 required positional arguments: 'x_test' and 'y_test']
[ 2024-11-21 20:32:35,427 ] 13 root - INFO - Error occured in python script name [D:\MLOps\Network_Security_project\networksecurity\components\model_trainer.py] line number [114] error message [ModelTrainer.train_model() missing 2 required positional arguments: 'x_test' and 'y_test']
[ 2024-11-21 20:32:35,428 ] 13 root - INFO - Error occured in python script name [D:\MLOps\Network_Security_project\main.py] line number [40] error message [Error occured in python script name [D:\MLOps\Network_Security_project\networksecurity\components\model_trainer.py] line number [114] error message [ModelTrainer.train_model() missing 2 required positional arguments: 'x_test' and 'y_test']]
[ 2024-11-21 20:32:35,428 ] 13 root - INFO - Error occured in python script name [D:\MLOps\Network_Security_project\networksecurity\components\model_trainer.py] line number [114] error message [ModelTrainer.train_model() missing 2 required positional arguments: 'x_test' and 'y_test']
